ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2005-Feb,1,Rajesh Singh,19389,30.60%,Rashtriya Janata Dal,Valmiki Nagar,1,30.60
2005-Feb,2,Ramadhar Yadav,13287,21.00%,Samajwadi Party,Valmiki Nagar,1,21.00
2005-Feb,3,Mukesh Kumar Kushwaha,10865,17.20%,Independent,Valmiki Nagar,1,17.20
2005-Feb,4,Arun Kumar Tiwari,5073,8.00%,Lok Jan Shakti Party,Valmiki Nagar,1,8.00
2005-Feb,5,Bawwan Prasad Yadav,3320,5.30%,Samata Party,Valmiki Nagar,1,5.30
2005-Feb,6,Indrajit Yadav,2985,4.70%,Nationalist Congress Party,Valmiki Nagar,1,4.70
2005-Feb,7,Arthraj Yadav,2893,4.60%,Bahujan Samaj Party,Valmiki Nagar,1,4.60
2005-Feb,8,Krishna Bihari Prasad Kushwaha,1848,2.90%,National Loktantrik Party,Valmiki Nagar,1,2.90
2005-Feb,9,Raghunath Prasad Sahani,1716,2.70%,Janata Dal (United),Valmiki Nagar,1,2.70
2005-Feb,10,Manoj Prasad,1067,1.70%,Independent,Valmiki Nagar,1,1.70
2005-Feb,11,Bal Khila Thakur,844,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Valmiki Nagar,1,1.30
2005-Feb,1,Purnamasi Ram,59151,49.00%,Janata Dal (United),Ramnagar (SC),2,49.00
2005-Feb,2,Naresh Ram,27481,22.80%,Rashtriya Janata Dal,Ramnagar (SC),2,22.80
2005-Feb,3,Suresh Ram,16175,13.40%,Samajwadi Party,Ramnagar (SC),2,13.40
2005-Feb,4,Dinanath Ram,3487,2.90%,Bahujan Samaj Party,Ramnagar (SC),2,2.90
2005-Feb,5,Rambha Devi,3384,2.80%,Lok Jan Shakti Party,Ramnagar (SC),2,2.80
2005-Feb,6,Vishwanath Ram,2393,2.00%,Independent,Ramnagar (SC),2,2.00
2005-Feb,7,Ram Prawesh Ram,1997,1.70%,Rashtriya Lok Dal,Ramnagar (SC),2,1.70
2005-Feb,8,Ramashankar Bhagat,1554,1.30%,Independent,Ramnagar (SC),2,1.30
2005-Feb,9,Chhote Lal Ram,1503,1.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Ramnagar (SC),2,1.20
2005-Feb,10,Dinesh Chandra Ram,1355,1.10%,Independent,Ramnagar (SC),2,1.10
2005-Feb,11,Sugrim Ram,1159,1.00%,Shiv Sena,Ramnagar (SC),2,1.00
2005-Feb,12,Ramashish Baitha,1098,0.90%,Independent,Ramnagar (SC),2,0.90
2005-Feb,1,Chandra Mohan Rai,20961,21.50%,Bharatiya Janta Party,Narkatiaganj,3,21.50
2005-Feb,2,Fakhruddin Khan,20711,21.20%,Lok Jan Shakti Party,Narkatiaganj,3,21.20
2005-Feb,3,Ram Prasad Yadav,16377,16.80%,Rashtriya Janata Dal,Narkatiaganj,3,16.80
2005-Feb,4,Prabhat Ranjan Singh,11180,11.50%,Bahujan Samaj Party,Narkatiaganj,3,11.50
2005-Feb,5,Md. Salahuddin,10353,10.60%,Nationalist Congress Party,Narkatiaganj,3,10.60
2005-Feb,6,Arjun Vikram Shah,4218,4.30%,Indian National Congress,Narkatiaganj,3,4.30
2005-Feb,7,Rajesh Oraon,2735,2.80%,Samajwadi Party,Narkatiaganj,3,2.80
2005-Feb,8,Bechu Yadav,1241,1.30%,Independent,Narkatiaganj,3,1.30
2005-Feb,9,Lalkishor Chaudhari,1136,1.20%,Independent,Narkatiaganj,3,1.20
2005-Feb,10,Kashi Bhaitha,1109,1.10%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Narkatiaganj,3,1.10
2005-Feb,11,Pramod Kumar Singh,1065,1.10%,Rashtriya Lok Dal,Narkatiaganj,3,1.10
2005-Feb,12,Akhilesh Prasad,899,0.90%,Independent,Narkatiaganj,3,0.90
2005-Feb,13,Deepak Prasad,786,0.80%,Independent,Narkatiaganj,3,0.80
2005-Feb,14,Birendra Singh,766,0.80%,Independent,Narkatiaganj,3,0.80
2005-Feb,15,Dinanath Sharma,658,0.70%,Independent,Narkatiaganj,3,0.70
2005-Feb,16,Shashi Bhushan Mishra,639,0.70%,Independent,Narkatiaganj,3,0.70
2005-Feb,17,Parsotam Ram,635,0.70%,Independent,Narkatiaganj,3,0.70
2005-Feb,18,Sheikh Hasarat Mohani,460,0.50%,Samata Party,Narkatiaganj,3,0.50
2005-Feb,19,Bhuteli Ram,455,0.50%,Independent,Narkatiaganj,3,0.50
2005-Feb,20,Rajkumar Paswan,451,0.50%,Independent,Narkatiaganj,3,0.50
2005-Feb,21,Munindra Pandit,423,0.40%,Independent,Narkatiaganj,3,0.40
2005-Feb,22,Luxman Mukhiya,402,0.40%,Independent,Narkatiaganj,3,0.40
2005-Feb,1,Subodh Kumar,30421,31.10%,Nationalist Congress Party,Bagaha,4,31.10
2005-Feb,2,Bhagirathi Devi,19161,19.60%,Bharatiya Janta Party,Bagaha,4,19.60
2005-Feb,3,Hira Lal Ram,19069,19.50%,Lok Jan Shakti Party,Bagaha,4,19.50
2005-Feb,4,Nand Kishore Choudhary,6734,6.90%,Rashtriya Janata Dal,Bagaha,4,6.90
2005-Feb,5,Valchandra Ram,6641,6.80%,Bahujan Samaj Party,Bagaha,4,6.80
2005-Feb,6,Udaybhan Paswan,2825,2.90%,Indian National Congress,Bagaha,4,2.90
2005-Feb,7,Nathu Ravi,2234,2.30%,Independent,Bagaha,4,2.30
2005-Feb,8,Tej Bahadur Ram,2092,2.10%,Samajwadi Janata Party (RASHTRIYA),Bagaha,4,2.10
2005-Feb,9,Sudama Hazra,1924,2.00%,Samajwadi Party,Bagaha,4,2.00
2005-Feb,10,Jitendra Manjhi,1624,1.70%,Independent,Bagaha,4,1.70
2005-Feb,11,Tarkeshwar Prasad Chourasiya,1543,1.60%,Independent,Bagaha,4,1.60
2005-Feb,12,Dhram Sen Kumar Ram,1515,1.60%,Apna Dal,Bagaha,4,1.60
2005-Feb,13,Tarkeshwar Ram,1298,1.30%,Independent,Bagaha,4,1.30
2005-Feb,14,Moti Lal Ram,618,0.60%,Shiv Sena,Bagaha,4,0.60
2005-Feb,1,Dilip Verma,26161,27.40%,Samajwadi Party,Lauriya,5,27.40
2005-Feb,2,Khursid Alam Alis Firoz Alam,19504,20.40%,Independent,Lauriya,5,20.40
2005-Feb,3,Prem Sagar Prasad,11672,12.20%,Bharatiya Janta Party,Lauriya,5,12.20
2005-Feb,4,Hasina Khatoon,8864,9.30%,Lok Jan Shakti Party,Lauriya,5,9.30
2005-Feb,5,Sunil Kumar Rao,8001,8.40%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Lauriya,5,8.40
2005-Feb,6,Krishna Prasad,5183,5.40%,Nationalist Congress Party,Lauriya,5,5.40
2005-Feb,7,Shaffiuddin Alias Teni,4402,4.60%,Rashtriya Janata Dal,Lauriya,5,4.60
2005-Feb,8,Harendra Paswan,3133,3.30%,Independent,Lauriya,5,3.30
2005-Feb,9,Lal Babu Prasad,2088,2.20%,Bahujan Samaj Party,Lauriya,5,2.20
2005-Feb,10,Khurshid Alam,1757,1.80%,Indian National Congress,Lauriya,5,1.80
2005-Feb,11,Suresh Paswan,1042,1.10%,Independent,Lauriya,5,1.10
2005-Feb,12,Indra Devi,1031,1.10%,Independent,Lauriya,5,1.10
2005-Feb,13,Ajay Kumar Mishra,975,1.00%,Independent,Lauriya,5,1.00
2005-Feb,14,Akbar Mian,704,0.70%,Independent,Lauriya,5,0.70
2005-Feb,15,Shambhu Prasad Yadav,575,0.60%,Independent,Lauriya,5,0.60
2005-Feb,16,Mukhlal Paswan,440,0.50%,Independent,Lauriya,5,0.50
2005-Feb,1,Pradeep Singh,21775,22.70%,Janata Dal (United),Nautan,6,22.70
2005-Feb,2,Shambhu Tiwari,21721,22.70%,Bahujan Samaj Party,Nautan,6,22.70
2005-Feb,3,Vinay Bihari,17909,18.70%,Samajwadi Party,Nautan,6,18.70
