ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2010,1,Rajesh Singh,42289,29.40%,Janata Dal (United),Valmiki Nagar,1,29.40
2010,2,Mukesh Kumar Kushwaha,27618,19.20%,Rashtriya Janata Dal,Valmiki Nagar,1,19.20
2010,3,Dheerendra Pratap Singh,20886,14.50%,Bahujan Samaj Party,Valmiki Nagar,1,14.50
2010,4,Irshad Hussain,17747,12.40%,Indian National Congress,Valmiki Nagar,1,12.40
2010,5,Deep Narayan Mahato,14047,9.80%,Independent,Valmiki Nagar,1,9.80
2010,6,Manoj Kumar Singh,8358,5.80%,Janvadi Party (Socialist),Valmiki Nagar,1,5.80
2010,7,Saket Kumar Pathak,4428,3.10%,Independent,Valmiki Nagar,1,3.10
2010,8,Ramayan Chaudhary,1647,1.20%,Independent,Valmiki Nagar,1,1.20
2010,9,Ram Naresh Sah,1610,1.10%,Independent,Valmiki Nagar,1,1.10
2010,10,Shashi Bhusan Sahay,1334,0.90%,Nationalist Congress Party,Valmiki Nagar,1,0.90
2010,11,Pramod Sah,1114,0.80%,Independent,Valmiki Nagar,1,0.80
2010,12,Ramashankar Prasad,1042,0.70%,Bharatiya Jantantrik Janta Dal,Valmiki Nagar,1,0.70
2010,13,Insad Ali,835,0.60%,Independent,Valmiki Nagar,1,0.60
2010,14,Pahawari Yadaw,743,0.50%,Independent,Valmiki Nagar,1,0.50
2010,1,Bhagirathi Devi,51993,41.50%,Bharatiya Janta Party,Ramnagar,2,41.50
2010,2,Naresh Ram,22211,17.70%,Indian National Congress,Ramnagar,2,17.70
2010,3,Subodh Kumar,20095,16.00%,Nationalist Congress Party,Ramnagar,2,16.00
2010,4,Shambhu Ram,9080,7.30%,Rashtriya Janata Dal,Ramnagar,2,7.30
2010,5,Rameshvar Manjhee,4129,3.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Ramnagar,2,3.30
2010,6,Lakshmi Ram,3825,3.10%,Bahujan Samaj Party,Ramnagar,2,3.10
2010,7,Vijay Paswan,2048,1.60%,Independent,Ramnagar,2,1.60
2010,8,Hiralal Ram,1863,1.50%,Samajwadi Party,Ramnagar,2,1.50
2010,9,Sankar Ram,1600,1.30%,Samajwadi Janata Party (RASHTRIYA),Ramnagar,2,1.30
2010,10,Suchindra Ram,1497,1.20%,Independent,Ramnagar,2,1.20
2010,11,Parsottam Ram,1208,1.00%,Independent,Ramnagar,2,1.00
